feature,importance
perceptr_var,0.04187375724195177
chroma_stft_mean,0.04097892280560175
length,0.040430353494529
rms_mean,0.030629529128091377
rms_var,0.029955147295715925
spectral_bandwidth_mean,0.029730036869460883
mfcc4_mean,0.028749030000971555
spectral_centroid_var,0.026335178444105288
rolloff_mean,0.02600244292628934
chroma_stft_var,0.025889621982766634
mfcc5_var,0.023569260374604193
mfcc1_mean,0.023123647493159285
mfcc9_mean,0.022893979307855673
mfcc6_mean,0.022744702294937472
spectral_centroid_mean,0.02047957126580967
